#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ELOC	RBX1	9606.ENSP00000478121	9606.ENSP00000216225	0	0.906	0.900	0	0.990
ELOC	VHL	9606.ENSP00000478121	9606.ENSP00000256474	0	0.960	0.800	0	0.991
ELOC	EPAS1	9606.ENSP00000478121	9606.ENSP00000263734	0	0.833	0.500	0	0.912
ELOC	HIF1A	9606.ENSP00000478121	9606.ENSP00000437955	0	0.905	0.500	0	0.950
ENO1	ENO3	9606.ENSP00000495530	9606.ENSP00000324105	0	0.711	0.540	0	0.861
ENO1	ENO2	9606.ENSP00000495530	9606.ENSP00000437402	0	0.711	0.540	0	0.861
ENO2	ENO3	9606.ENSP00000437402	9606.ENSP00000324105	0	0.711	0.540	0	0.861
EP300	NFKB1	9606.ENSP00000263253	9606.ENSP00000226574	0	0.457	0.500	0	0.716
EP300	EPAS1	9606.ENSP00000263253	9606.ENSP00000263734	0	0.457	0.900	0	0.943
EP300	RELA	9606.ENSP00000263253	9606.ENSP00000384273	0	0.457	0.500	0	0.716
EP300	HIF1A	9606.ENSP00000263253	9606.ENSP00000437955	0	0.960	0.900	0	0.995
EPAS1	VHL	9606.ENSP00000263734	9606.ENSP00000256474	0	0.945	0.500	0	0.971
EPAS1	HIF1A	9606.ENSP00000263734	9606.ENSP00000437955	0	0.220	0.900	0	0.918
ERBB2	PLCG1	9606.ENSP00000269571	9606.ENSP00000244007	0	0.457	0.500	0	0.716
ERBB2	PIK3R1	9606.ENSP00000269571	9606.ENSP00000428056	0	0.621	0.400	0	0.762
HIF1A	VHL	9606.ENSP00000437955	9606.ENSP00000256474	0	0.953	0.500	0	0.975
HK1	HK2	9606.ENSP00000494664	9606.ENSP00000290573	0	0.702	0.900	0	0.968
HK1	HK3	9606.ENSP00000494664	9606.ENSP00000292432	0	0.664	0.900	0	0.964
HK1	HKDC1	9606.ENSP00000494664	9606.ENSP00000346643	0	0.702	0.900	0	0.968
HK2	HKDC1	9606.ENSP00000290573	9606.ENSP00000346643	0	0	0.900	0	0.900
HK2	HK3	9606.ENSP00000290573	9606.ENSP00000292432	0	0.658	0.900	0	0.964
HK3	HKDC1	9606.ENSP00000292432	9606.ENSP00000346643	0	0.621	0.900	0	0.960
IFNG	IFNGR1	9606.ENSP00000229135	9606.ENSP00000356713	0	0.960	0.900	0	0.995
IFNG	IFNGR2	9606.ENSP00000229135	9606.ENSP00000371425	0	0.926	0.500	0	0.961
IFNGR1	IFNGR2	9606.ENSP00000356713	9606.ENSP00000371425	0	0.900	0.500	0	0.947
IGF1	INSR	9606.ENSP00000376637	9606.ENSP00000303830	0	0.960	0	0	0.960
IGF1	INS	9606.ENSP00000376637	9606.ENSP00000380432	0	0	0.900	0	0.900
IGF1	IGF1R	9606.ENSP00000376637	9606.ENSP00000497069	0	0.960	0.900	0	0.995
IGF1R	INSR	9606.ENSP00000497069	9606.ENSP00000303830	0	0.927	0.900	0	0.992
IGF1R	INS	9606.ENSP00000497069	9606.ENSP00000380432	0	0.900	0.800	0	0.979
IL6	IL6R	9606.ENSP00000385675	9606.ENSP00000357470	0	0.967	0.900	0	0.996
INS	INSR	9606.ENSP00000380432	9606.ENSP00000303830	0	0.967	0.800	0	0.993
LDHA	LDHAL6A	9606.ENSP00000445175	9606.ENSP00000280706	0	0.610	0.500	0	0.796
LDHA	LDHC	9606.ENSP00000445175	9606.ENSP00000437783	0	0.671	0.500	0	0.828
LDHAL6A	LDHC	9606.ENSP00000280706	9606.ENSP00000437783	0	0.535	0.500	0	0.757
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0.500	0	0.759
MAP2K1	MAP2K2	9606.ENSP00000302486	9606.ENSP00000262948	0	0.661	0.900	0	0.964
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0.900	0	0.951
MAP2K2	MAPK1	9606.ENSP00000262948	9606.ENSP00000215832	0	0.965	0.900	0	0.996
MAP2K2	MAPK3	9606.ENSP00000262948	9606.ENSP00000263025	0	0.537	0.500	0	0.759
MAPK1	MKNK1	9606.ENSP00000215832	9606.ENSP00000498083	0	0.963	0	0	0.963
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0.633	0.900	0	0.961
MAPK1	STAT3	9606.ENSP00000215832	9606.ENSP00000264657	0	0.926	0	0	0.926
MKNK1	MKNK2	9606.ENSP00000498083	9606.ENSP00000250896	0	0.443	0.900	0	0.941
MTOR	RPS6KB1	9606.ENSP00000354558	9606.ENSP00000225577	0	0.944	0	0	0.944
NFKB1	RELA	9606.ENSP00000226574	9606.ENSP00000384273	0	0.959	0.900	0	0.995
NOS2	NOS3	9606.ENSP00000327251	9606.ENSP00000297494	0	0	0.900	0	0.900
PDHA1	PDHB	9606.ENSP00000369134	9606.ENSP00000307241	0	0.971	0.972	0	0.999
PDHA1	PDK1	9606.ENSP00000369134	9606.ENSP00000376352	0	0.649	0.360	0	0.765
PDHA2	PDHB	9606.ENSP00000295266	9606.ENSP00000307241	0	0.537	0.972	0	0.986
PDHB	PDK1	9606.ENSP00000307241	9606.ENSP00000376352	0	0.639	0.360	0	0.759
PFKL	PFKP	9606.ENSP00000269848	9606.ENSP00000370517	0	0.655	0.900	0	0.964
PFKL	PFKM	9606.ENSP00000269848	9606.ENSP00000496597	0	0.705	0.900	0	0.969
PFKM	PFKP	9606.ENSP00000496597	9606.ENSP00000370517	0	0.705	0.900	0	0.969
PGK1	PGK2	9606.ENSP00000362413	9606.ENSP00000305995	0	0.430	0.900	0	0.940
PIK3CA	PIK3R2	9606.ENSP00000263967	9606.ENSP00000222254	0	0.611	0.922	0	0.968
PIK3CA	PLCG1	9606.ENSP00000263967	9606.ENSP00000244007	0	0.457	0.900	0	0.943
PIK3CA	PIK3R3	9606.ENSP00000263967	9606.ENSP00000262741	0	0.635	0.944	0	0.978
PIK3CA	PLCG2	9606.ENSP00000263967	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3CA	PIK3CB	9606.ENSP00000263967	9606.ENSP00000501150	0	0	0.900	0	0.900
PIK3CA	PIK3CD	9606.ENSP00000263967	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0.963	0.967	0	0.998
PIK3CB	PIK3R2	9606.ENSP00000501150	9606.ENSP00000222254	0	0.766	0.904	0	0.976
PIK3CB	PLCG1	9606.ENSP00000501150	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3CB	PIK3R3	9606.ENSP00000501150	9606.ENSP00000262741	0	0.659	0.904	0	0.966
PIK3CB	PIK3CD	9606.ENSP00000501150	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CB	PIK3R1	9606.ENSP00000501150	9606.ENSP00000428056	0	0.678	0.904	0	0.968
PIK3CB	PLCG2	9606.ENSP00000501150	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3CD	PIK3R2	9606.ENSP00000366563	9606.ENSP00000222254	0	0.417	0.904	0	0.942
PIK3CD	PLCG1	9606.ENSP00000366563	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3CD	PIK3R3	9606.ENSP00000366563	9606.ENSP00000262741	0	0.443	0.904	0	0.944
PIK3CD	PLCG2	9606.ENSP00000366563	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3CD	PIK3R1	9606.ENSP00000366563	9606.ENSP00000428056	0	0.947	0.904	0	0.994
PIK3R1	PIK3R2	9606.ENSP00000428056	9606.ENSP00000222254	0	0.669	0.900	0	0.965
PIK3R1	PLCG1	9606.ENSP00000428056	9606.ENSP00000244007	0	0.292	0.900	0	0.926
PIK3R1	PIK3R3	9606.ENSP00000428056	9606.ENSP00000262741	0	0.661	0.944	0	0.980
PIK3R1	PLCG2	9606.ENSP00000428056	9606.ENSP00000482457	0	0.614	0.900	0	0.959
PIK3R2	PLCG2	9606.ENSP00000222254	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3R2	PLCG1	9606.ENSP00000222254	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3R2	PIK3R3	9606.ENSP00000222254	9606.ENSP00000262741	0	0.654	0.900	0	0.963
PIK3R3	PLCG1	9606.ENSP00000262741	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3R3	PLCG2	9606.ENSP00000262741	9606.ENSP00000482457	0	0	0.900	0	0.900
PLCG1	PLCG2	9606.ENSP00000244007	9606.ENSP00000482457	0	0.387	0.900	0	0.936
PRKCA	PRKCG	9606.ENSP00000408695	9606.ENSP00000263431	0	0.603	0.900	0	0.958
PRKCA	PRKCB	9606.ENSP00000408695	9606.ENSP00000496129	0	0.596	0.900	0	0.957
PRKCB	PRKCG	9606.ENSP00000496129	9606.ENSP00000263431	0	0.452	0.900	0	0.942
RBX1	VHL	9606.ENSP00000216225	9606.ENSP00000256474	0	0.903	0.800	0	0.979
RPS6KB1	RPS6KB2	9606.ENSP00000225577	9606.ENSP00000308413	0	0	0.900	0	0.900
TF	TFRC	9606.ENSP00000385834	9606.ENSP00000376197	0	0.960	0.900	0	0.995
